source,body_name,corner_label,morph,q,stage_index,user_stage,pole_freq_hz,pole_radius,zero_freq_hz,zero_radius,c0,c1,c2,c3,c4,stage_peak_db,cancellation_db,role,source_file
raw-v1,ah_to_ee_talking_formant,M0,0,,0,S1,7000.0,0.88,,,,,,,,13.72,-8.04,,authoring\emu_designer\generated\ah_to_ee_talking_formant.raw.json
raw-v1,ah_to_ee_talking_formant,M0,0,,1,S2,700.0,0.92,,,,,,,,35.26,-11.28,,authoring\emu_designer\generated\ah_to_ee_talking_formant.raw.json
raw-v1,ah_to_ee_talking_formant,M0,0,,2,S3,1220.0,0.92,,,,,,,,30.47,-11.22,,authoring\emu_designer\generated\ah_to_ee_talking_formant.raw.json
raw-v1,ah_to_ee_talking_formant,M0,0,,3,S4,,,,,,,,,,0.0,0.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.raw.json
raw-v1,ah_to_ee_talking_formant,M0,0,,4,S5,2600.0,0.92,,,,,,,,24.08,-10.93,,authoring\emu_designer\generated\ah_to_ee_talking_formant.raw.json
raw-v1,ah_to_ee_talking_formant,M0,0,,5,S6,87.0,0.85,0.0,1.0,,,,,,1.35,-66.81,,authoring\emu_designer\generated\ah_to_ee_talking_formant.raw.json
raw-v1,ah_to_ee_talking_formant,M100,1,,0,S1,7000.0,0.88,,,,,,,,13.72,-8.04,,authoring\emu_designer\generated\ah_to_ee_talking_formant.raw.json
raw-v1,ah_to_ee_talking_formant,M100,1,,1,S2,342.0,0.92,,,,,,,,40.74,-11.3,,authoring\emu_designer\generated\ah_to_ee_talking_formant.raw.json
raw-v1,ah_to_ee_talking_formant,M100,1,,2,S3,2322.0,0.92,,,,,,,,25.02,-11.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.raw.json
raw-v1,ah_to_ee_talking_formant,M100,1,,3,S4,,,,,,,,,,0.0,0.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.raw.json
raw-v1,ah_to_ee_talking_formant,M100,1,,4,S5,3000.0,0.92,,,,,,,,22.92,-10.8,,authoring\emu_designer\generated\ah_to_ee_talking_formant.raw.json
raw-v1,ah_to_ee_talking_formant,M100,1,,5,S6,120.0,0.85,0.0,1.0,,,,,,1.35,-66.87,,authoring\emu_designer\generated\ah_to_ee_talking_formant.raw.json
raw-v1,mouth_clamp,M0,0,,0,S1,6000.0,0.88,,,,,,,,14.63,-8.84,,authoring\emu_designer\generated\mouth_clamp.raw.json
raw-v1,mouth_clamp,M0,0,,1,S2,1700.0,0.75,,,,,,,,18.55,-9.54,,authoring\emu_designer\generated\mouth_clamp.raw.json
raw-v1,mouth_clamp,M0,0,,2,S3,900.0,0.75,,,,,,,,22.14,-9.65,,authoring\emu_designer\generated\mouth_clamp.raw.json
raw-v1,mouth_clamp,M0,0,,3,S4,1900.0,0.7,,,,,,,,0.0,0.0,,authoring\emu_designer\generated\mouth_clamp.raw.json
raw-v1,mouth_clamp,M0,0,,4,S5,400.0,0.75,,,,,,,,23.66,-9.69,,authoring\emu_designer\generated\mouth_clamp.raw.json
raw-v1,mouth_clamp,M0,0,,5,S6,80.0,0.85,0.0,1.0,,,,,,1.35,-66.8,,authoring\emu_designer\generated\mouth_clamp.raw.json
raw-v1,mouth_clamp,M100,1,,0,S1,4000.0,0.88,,,,,,,,17.35,-10.03,,authoring\emu_designer\generated\mouth_clamp.raw.json
raw-v1,mouth_clamp,M100,1,,1,S2,570.0,0.75,,,,,,,,23.25,-9.68,,authoring\emu_designer\generated\mouth_clamp.raw.json
raw-v1,mouth_clamp,M100,1,,2,S3,1200.0,0.75,,,,,,,,20.88,-9.62,,authoring\emu_designer\generated\mouth_clamp.raw.json
raw-v1,mouth_clamp,M100,1,,3,S4,1500.0,0.7,,,,,,,,0.0,0.0,,authoring\emu_designer\generated\mouth_clamp.raw.json
raw-v1,mouth_clamp,M100,1,,4,S5,1200.0,0.75,,,,,,,,20.88,-9.62,,authoring\emu_designer\generated\mouth_clamp.raw.json
raw-v1,mouth_clamp,M100,1,,5,S6,80.0,0.85,0.0,1.0,,,,,,1.35,-66.8,,authoring\emu_designer\generated\mouth_clamp.raw.json
raw-v1,god_filter_candidate,M0,0,,0,S1,5000.0,0.88,,,,,,,,15.75,-9.5,,authoring\emu_designer\generated\phoneme_forge_candidate.raw.json
raw-v1,god_filter_candidate,M0,0,,1,S2,700.0,0.92,,,,,,,,35.26,-11.28,,authoring\emu_designer\generated\phoneme_forge_candidate.raw.json
raw-v1,god_filter_candidate,M0,0,,2,S3,1220.0,0.92,,,,,,,,30.47,-11.22,,authoring\emu_designer\generated\phoneme_forge_candidate.raw.json
raw-v1,god_filter_candidate,M0,0,,3,S4,,,,,,,,,,0.0,0.0,,authoring\emu_designer\generated\phoneme_forge_candidate.raw.json
raw-v1,god_filter_candidate,M0,0,,4,S5,2600.0,0.92,,,,,,,,24.08,-10.93,,authoring\emu_designer\generated\phoneme_forge_candidate.raw.json
raw-v1,god_filter_candidate,M0,0,,5,S6,80.0,0.85,0.0,1.0,,,,,,1.35,-66.8,,authoring\emu_designer\generated\phoneme_forge_candidate.raw.json
raw-v1,god_filter_candidate,M100,1,,0,S1,6500.0,0.88,,,,,,,,14.05,-8.46,,authoring\emu_designer\generated\phoneme_forge_candidate.raw.json
raw-v1,god_filter_candidate,M100,1,,1,S2,342.0,0.92,,,,,,,,40.74,-11.3,,authoring\emu_designer\generated\phoneme_forge_candidate.raw.json
raw-v1,god_filter_candidate,M100,1,,2,S3,2322.0,0.92,,,,,,,,25.02,-11.0,,authoring\emu_designer\generated\phoneme_forge_candidate.raw.json
raw-v1,god_filter_candidate,M100,1,,3,S4,,,,,,,,,,0.0,0.0,,authoring\emu_designer\generated\phoneme_forge_candidate.raw.json
raw-v1,god_filter_candidate,M100,1,,4,S5,3000.0,0.92,,,,,,,,22.92,-10.8,,authoring\emu_designer\generated\phoneme_forge_candidate.raw.json
raw-v1,god_filter_candidate,M100,1,,5,S6,90.0,0.85,0.0,1.0,,,,,,1.35,-66.82,,authoring\emu_designer\generated\phoneme_forge_candidate.raw.json
raw-v1,phoneme_forge_candidate,M0,0,,0,S1,1800.0,0.88,,,,,,,,23.82,-10.76,,authoring\emu_designer\generated\phoneme_forge_candidate1.raw.json
raw-v1,phoneme_forge_candidate,M0,0,,1,S2,1700.0,0.92,,,,,,,,27.63,-11.15,,authoring\emu_designer\generated\phoneme_forge_candidate1.raw.json
raw-v1,phoneme_forge_candidate,M0,0,,2,S3,900.0,0.92,,,,,,,,33.09,-11.26,,authoring\emu_designer\generated\phoneme_forge_candidate1.raw.json
raw-v1,phoneme_forge_candidate,M0,0,,3,S4,,,,,,,,,,0.0,0.0,,authoring\emu_designer\generated\phoneme_forge_candidate1.raw.json
raw-v1,phoneme_forge_candidate,M0,0,,4,S5,400.0,0.92,,,,,,,,39.82,-11.3,,authoring\emu_designer\generated\phoneme_forge_candidate1.raw.json
raw-v1,phoneme_forge_candidate,M0,0,,5,S6,3800.0,0.85,0.0,1.0,,,,,,7.75,-90.08,,authoring\emu_designer\generated\phoneme_forge_candidate1.raw.json
raw-v1,phoneme_forge_candidate,M100,1,,0,S1,2400.0,0.88,,,,,,,,21.41,-10.62,,authoring\emu_designer\generated\phoneme_forge_candidate1.raw.json
raw-v1,phoneme_forge_candidate,M100,1,,1,S2,570.0,0.92,,,,,,,,37.04,-11.29,,authoring\emu_designer\generated\phoneme_forge_candidate1.raw.json
raw-v1,phoneme_forge_candidate,M100,1,,2,S3,1200.0,0.92,,,,,,,,30.61,-11.23,,authoring\emu_designer\generated\phoneme_forge_candidate1.raw.json
raw-v1,phoneme_forge_candidate,M100,1,,3,S4,,,,,,,,,,0.0,0.0,,authoring\emu_designer\generated\phoneme_forge_candidate1.raw.json
raw-v1,phoneme_forge_candidate,M100,1,,4,S5,1200.0,0.92,,,,,,,,30.61,-11.23,,authoring\emu_designer\generated\phoneme_forge_candidate1.raw.json
raw-v1,phoneme_forge_candidate,M100,1,,5,S6,640.0,0.85,0.0,1.0,,,,,,1.38,-69.67,,authoring\emu_designer\generated\phoneme_forge_candidate1.raw.json
raw-v1,talking_bender_v2,M0,0,,0,S1,9313.1,0.975292,4508.4,0.701201,,,,,,24.23,-12.89,,authoring\emu_designer\generated\talking_bender.raw.json
raw-v1,talking_bender_v2,M0,0,,1,S2,890.7,0.979289,4608.5,0.70898,,,,,,37.62,-5.29,,authoring\emu_designer\generated\talking_bender.raw.json
raw-v1,talking_bender_v2,M0,0,,2,S3,1569.6,0.977293,4852.2,0.719735,,,,,,32.16,-5.36,,authoring\emu_designer\generated\talking_bender.raw.json
raw-v1,talking_bender_v2,M0,0,,3,S4,2348.0,0.996945,5237.8,0.728817,,,,,,41.37,-5.54,,authoring\emu_designer\generated\talking_bender.raw.json
raw-v1,talking_bender_v2,M0,0,,4,S5,4606.9,0.947884,8392.6,0.562287,,,,,,21.55,-6.74,,authoring\emu_designer\generated\talking_bender.raw.json
raw-v1,talking_bender_v2,M0,0,,5,S6,199.4,0.991178,7297.5,0.749592,,,,,,64.81,-10.14,,authoring\emu_designer\generated\talking_bender.raw.json
raw-v1,talking_bender_v2,M100,1,,0,S1,45.3,0.997312,10228.3,0.334053,,,,,,89.45,-11.49,,authoring\emu_designer\generated\talking_bender.raw.json
raw-v1,talking_bender_v2,M100,1,,1,S2,10190.4,0.994126,11113.9,0.3844,,,,,,23.96,-5.48,,authoring\emu_designer\generated\talking_bender.raw.json
raw-v1,talking_bender_v2,M100,1,,2,S3,12653.4,0.879505,11426.3,0.377392,,,,,,12.21,-5.62,,authoring\emu_designer\generated\talking_bender.raw.json
raw-v1,talking_bender_v2,M100,1,,3,S4,13545.5,0.994126,11908.4,0.35804,,,,,,24.6,-7.16,,authoring\emu_designer\generated\talking_bender.raw.json
raw-v1,talking_bender_v2,M100,1,,4,S5,14559.9,0.994126,12259.2,0.3646,,,,,,18.48,-7.53,,authoring\emu_designer\generated\talking_bender.raw.json
raw-v1,talking_bender_v2,M100,1,,5,S6,16131.1,0.994126,12171.5,0.389763,,,,,,25.66,-8.13,,authoring\emu_designer\generated\talking_bender.raw.json
compiled-v1,ah_to_ee_talking_formant,M0_Q0,0.0,0.0,0,S1,,,,,0.25425830483436584,0.5085166096687317,0.25425830483436584,-0.7573668360710144,0.774399995803833,0.3,-46.16,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M0_Q0,0.0,0.0,1,S2,,,,,3.1622776985168457,0.0,8.201599399626502e-09,-1.828348994255066,0.8464000307083133,5.46,1.69,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M0_Q0,0.0,0.0,2,S3,,,,,2.511886477470398,0.0,8.201599399626502e-09,-1.8046854734420776,0.8464000307083133,3.58,-0.25,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M0_Q0,0.0,0.0,3,S4,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M0_Q0,0.0,0.0,4,S5,,,,,1.5848931670188904,0.0,8.201599399626502e-09,-1.681424856185913,0.8464000307083133,0.25,-3.96,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M0_Q0,0.0,0.0,5,S6,,,,,1.0,-1.9999999701976776,1.0000000441074377,-1.6998335123062134,0.722500040531159,8.88,-105.69,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M0_Q0,0.0,0.0,6,S7,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M0_Q0,0.0,0.0,7,S8,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M0_Q0,0.0,0.0,8,S9,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M0_Q0,0.0,0.0,9,S10,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M0_Q0,0.0,0.0,10,S11,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M0_Q0,0.0,0.0,11,S12,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M0_Q100,0.0,1.0,0,S1,,,,,0.25425830483436584,0.5085166096687317,0.25425830483436584,-0.7573668360710144,0.774399995803833,0.3,-46.16,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M0_Q100,0.0,1.0,1,S2,,,,,3.1622776985168457,0.0,8.201599399626502e-09,-1.828348994255066,0.8464000307083133,5.46,1.69,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M0_Q100,0.0,1.0,2,S3,,,,,2.511886477470398,0.0,8.201599399626502e-09,-1.8046854734420776,0.8464000307083133,3.58,-0.25,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M0_Q100,0.0,1.0,3,S4,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M0_Q100,0.0,1.0,4,S5,,,,,1.5848931670188904,0.0,8.201599399626502e-09,-1.681424856185913,0.8464000307083133,0.25,-3.96,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M0_Q100,0.0,1.0,5,S6,,,,,1.0,-1.9999999701976776,1.0000000441074377,-1.6998335123062134,0.722500040531159,8.88,-105.69,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M0_Q100,0.0,1.0,6,S7,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M0_Q100,0.0,1.0,7,S8,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M0_Q100,0.0,1.0,8,S9,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M0_Q100,0.0,1.0,9,S10,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M0_Q100,0.0,1.0,10,S11,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M0_Q100,0.0,1.0,11,S12,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M100_Q0,1.0,0.0,0,S1,,,,,0.25425830483436584,0.5085166096687317,0.25425830483436584,-0.7573668360710144,0.774399995803833,0.3,-46.16,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M100_Q0,1.0,0.0,1,S2,,,,,2.511886477470398,0.0,8.201599399626502e-09,-1.8372166156768799,0.8464000307083133,3.41,-0.33,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M100_Q0,1.0,0.0,2,S3,,,,,3.981071710586548,0.0,8.201599399626502e-09,-1.7131479978561401,0.8464000307083133,8.07,3.96,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M100_Q0,1.0,0.0,3,S4,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M100_Q0,1.0,0.0,4,S5,,,,,2.2387211322784424,0.0,8.201599399626502e-09,-1.6298998594284058,0.8464000307083133,3.54,-0.84,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M100_Q0,1.0,0.0,5,S6,,,,,1.0,-1.9999999701976776,1.0000000441074377,-1.6996833086013794,0.722500040531159,8.88,-105.69,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M100_Q0,1.0,0.0,6,S7,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M100_Q0,1.0,0.0,7,S8,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M100_Q0,1.0,0.0,8,S9,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M100_Q0,1.0,0.0,9,S10,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M100_Q0,1.0,0.0,10,S11,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M100_Q0,1.0,0.0,11,S12,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M100_Q100,1.0,1.0,0,S1,,,,,0.25425830483436584,0.5085166096687317,0.25425830483436584,-0.7573668360710144,0.774399995803833,0.3,-46.16,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M100_Q100,1.0,1.0,1,S2,,,,,2.511886477470398,0.0,8.201599399626502e-09,-1.8372166156768799,0.8464000307083133,3.41,-0.33,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M100_Q100,1.0,1.0,2,S3,,,,,3.981071710586548,0.0,8.201599399626502e-09,-1.7131479978561401,0.8464000307083133,8.07,3.96,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M100_Q100,1.0,1.0,3,S4,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M100_Q100,1.0,1.0,4,S5,,,,,2.2387211322784424,0.0,8.201599399626502e-09,-1.6298998594284058,0.8464000307083133,3.54,-0.84,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M100_Q100,1.0,1.0,5,S6,,,,,1.0,-1.9999999701976776,1.0000000441074377,-1.6996833086013794,0.722500040531159,8.88,-105.69,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M100_Q100,1.0,1.0,6,S7,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M100_Q100,1.0,1.0,7,S8,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M100_Q100,1.0,1.0,8,S9,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M100_Q100,1.0,1.0,9,S10,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M100_Q100,1.0,1.0,10,S11,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,ah_to_ee_talking_formant,M100_Q100,1.0,1.0,11,S12,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.compiled.json
compiled-v1,mouth_clamp,M0_Q0,0.0,0.0,0,S1,,,,,0.1930917501449585,0.386183500289917,0.1930917501449585,-1.002032995223999,0.774399995803833,-4.03,-51.57,,authoring\emu_designer\generated\mouth_clamp.compiled.json
compiled-v1,mouth_clamp,M0_Q0,0.0,0.0,1,S2,,,,,5.011872291564941,0.0,0.0,-1.4442697763442993,0.5625,13.81,7.27,,authoring\emu_designer\generated\mouth_clamp.compiled.json
compiled-v1,mouth_clamp,M0_Q0,0.0,0.0,2,S3,,,,,3.981071710586548,0.0,0.0,-1.4843097925186157,0.5625,11.48,5.16,,authoring\emu_designer\generated\mouth_clamp.compiled.json
compiled-v1,mouth_clamp,M0_Q0,0.0,0.0,3,S4,,,,,0.06309574842453003,-1.9073246717453003,0.9999999737739564,-1.3351272344589233,0.4899999833106996,10.93,-6.79,,authoring\emu_designer\generated\mouth_clamp.compiled.json
compiled-v1,mouth_clamp,M0_Q0,0.0,0.0,4,S5,,,,,6.309573650360107,0.0,0.0,-1.4968963861465454,0.5625,15.38,9.12,,authoring\emu_designer\generated\mouth_clamp.compiled.json
compiled-v1,mouth_clamp,M0_Q0,0.0,0.0,5,S6,,,,,1.0,-2.0,1.0000000441074377,-1.6998592615127563,0.722500040531159,8.88,-105.66,,authoring\emu_designer\generated\mouth_clamp.compiled.json
compiled-v1,mouth_clamp,M0_Q0,0.0,0.0,6,S7,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\mouth_clamp.compiled.json
compiled-v1,mouth_clamp,M0_Q0,0.0,0.0,7,S8,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\mouth_clamp.compiled.json
compiled-v1,mouth_clamp,M0_Q0,0.0,0.0,8,S9,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\mouth_clamp.compiled.json
compiled-v1,mouth_clamp,M0_Q0,0.0,0.0,9,S10,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\mouth_clamp.compiled.json
compiled-v1,mouth_clamp,M0_Q0,0.0,0.0,10,S11,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\mouth_clamp.compiled.json
compiled-v1,mouth_clamp,M0_Q0,0.0,0.0,11,S12,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\mouth_clamp.compiled.json
compiled-v1,mouth_clamp,M0_Q100,0.0,1.0,0,S1,,,,,0.1930917501449585,0.386183500289917,0.1930917501449585,-1.002032995223999,0.774399995803833,-4.03,-51.57,,authoring\emu_designer\generated\mouth_clamp.compiled.json
compiled-v1,mouth_clamp,M0_Q100,0.0,1.0,1,S2,,,,,5.011872291564941,0.0,0.0,-1.4442697763442993,0.5625,13.81,7.27,,authoring\emu_designer\generated\mouth_clamp.compiled.json
compiled-v1,mouth_clamp,M0_Q100,0.0,1.0,2,S3,,,,,3.981071710586548,0.0,0.0,-1.4843097925186157,0.5625,11.48,5.16,,authoring\emu_designer\generated\mouth_clamp.compiled.json
compiled-v1,mouth_clamp,M0_Q100,0.0,1.0,3,S4,,,,,0.06309574842453003,-1.9073246717453003,0.9999999737739564,-1.3351272344589233,0.4899999833106996,10.93,-6.79,,authoring\emu_designer\generated\mouth_clamp.compiled.json
compiled-v1,mouth_clamp,M0_Q100,0.0,1.0,4,S5,,,,,6.309573650360107,0.0,0.0,-1.4968963861465454,0.5625,15.38,9.12,,authoring\emu_designer\generated\mouth_clamp.compiled.json
compiled-v1,mouth_clamp,M0_Q100,0.0,1.0,5,S6,,,,,1.0,-2.0,1.0000000441074377,-1.6998592615127563,0.722500040531159,8.88,-105.66,,authoring\emu_designer\generated\mouth_clamp.compiled.json
compiled-v1,mouth_clamp,M0_Q100,0.0,1.0,6,S7,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\mouth_clamp.compiled.json
compiled-v1,mouth_clamp,M0_Q100,0.0,1.0,7,S8,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\mouth_clamp.compiled.json
compiled-v1,mouth_clamp,M0_Q100,0.0,1.0,8,S9,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\mouth_clamp.compiled.json
compiled-v1,mouth_clamp,M0_Q100,0.0,1.0,9,S10,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\mouth_clamp.compiled.json
compiled-v1,mouth_clamp,M0_Q100,0.0,1.0,10,S11,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\mouth_clamp.compiled.json
compiled-v1,mouth_clamp,M0_Q100,0.0,1.0,11,S12,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\mouth_clamp.compiled.json
compiled-v1,mouth_clamp,M100_Q0,1.0,0.0,0,S1,,,,,0.0915728285908699,0.1831456571817398,0.0915728285908699,-1.4081087112426758,0.774399995803833,-12.99,-61.57,,authoring\emu_designer\generated\mouth_clamp.compiled.json
compiled-v1,mouth_clamp,M100_Q0,1.0,0.0,1,S2,,,,,3.981071710586548,0.0,0.0,-1.4936999082565308,0.5625,11.4,5.13,,authoring\emu_designer\generated\mouth_clamp.compiled.json
compiled-v1,mouth_clamp,M100_Q0,1.0,0.0,2,S3,,,,,3.981071710586548,0.0,0.0,-1.4721442461013794,0.5625,11.58,5.19,,authoring\emu_designer\generated\mouth_clamp.compiled.json
compiled-v1,mouth_clamp,M100_Q0,1.0,0.0,3,S4,,,,,0.06309574842453003,-1.9420685172080994,0.9999999737739564,-1.359447956085205,0.4899999833106996,10.79,-6.55,,authoring\emu_designer\generated\mouth_clamp.compiled.json
compiled-v1,mouth_clamp,M100_Q0,1.0,0.0,4,S5,,,,,5.011872291564941,0.0,0.0,-1.4721442461013794,0.5625,13.58,7.19,,authoring\emu_designer\generated\mouth_clamp.compiled.json
compiled-v1,mouth_clamp,M100_Q0,1.0,0.0,5,S6,,,,,1.0,-2.0,1.0000000441074377,-1.6998592615127563,0.722500040531159,8.88,-105.66,,authoring\emu_designer\generated\mouth_clamp.compiled.json
compiled-v1,mouth_clamp,M100_Q0,1.0,0.0,6,S7,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\emu_designer\generated\mouth_clamp.compiled.json
